family,model,role_hint,od_mm,height_mm,mass_g,hollow_id_mm,config,v_nom_v,i_load_a,rpm_noload,torque_load_nm,torque_rated_nm,power_max_w,resistance_ohm,j_rotor_g_cm2,reduction,notes,
T-Motor,GB54-2,proximal_light,60.7,25,156,12.7,12N14P,22.2,,288-577,,0.45,,15,,,orig_voltage:3-6S;_orig_kv:26,
Fulling,iSVD46C-48V-17-A14-001,distal_integrated,46,44,310,,28P,48,1.7,480,,1.6,16.7,,,10,FOC_module;_dual_enc;_output_torque;_peak_torque:5.5;_rpm_load:100,
Fulling,iSVD57C-48V-40-A14-001,j3_or_light_prox,57,51,310,,28P,48,3.4,315,,5,140,1.5,,10,FOC_module;_dual_enc;_output_torque;_peak_torque:14;_rpm_load:260;_verify_weight_spec_310g,
Fulling,iSVD78C-36V-10-A14-001,proximal_candidate,78.5,45.5,380,,28P,48,4.9,410,,6,170,0.55,,7.75,FOC_module;_dual_enc;_output_torque;_peak_torque:17;_rpm_load:360;_verify_model_index_36V,
Fulling,iSVD88C-48V-480-A14-001,proximal,88,55.5,621,,28P,48,10.1,480,,11,115,,,9,FOC_module;_dual_enc;_output_torque;_peak_torque:36;_rpm_load:100;_matches_prox_band,
Fulling,iSVD110C-48V-410-A14-001,proximal_heavy,110,56.6,900,,42P,48,8.5,195,,20,380,0.39,,9,FOC_module;_dual_enc;_output_torque;_peak_torque:60;_rpm_load:180;_upper_prox;_mass_high,
Fulling,FL45BLW18-24V-7130A,distal_raw,45,18,80,,16P,24,1.7,5000,,0.05,30,1.42,100,,i_stall_calc;_peak_i:4.3A;_stall_torque:0.06;_peak_torque:0.15,
Fulling,FL45BLW21-24V-6750A,distal_raw,45,21.6,120,,16P,24,2.91,5260,,0.084,50,0.72,135,,i_stall_calc;_peak_i:7.4A;_stall_torque:0.10;_peak_torque:0.25,
Fulling,FL45BLW27-24V-6170A,distal_or_j3_raw,45,27,150,,16P,24,4.2,4840,,0.13,70,0.56,180,,i_stall_calc;_peak_i:11A;_stall_torque:0.156;_peak_torque:0.39;_LIMS1-like_J_order,
Fulling,FL60BLW38-24V-37110A-1,proximal_raw,60,38,500,,14P,24,6.96,3700,,0.29,110,0.29,1000,,i_stall_calc;_peak_i:17.4A;_stall_torque:0.348;_peak_torque:0.87;_needs_moderate_N,
Fulling,FL60BLW42-24V-37110A-EN,proximal_raw,60,42,480,,14P,24,6.96,3500,,0.29,106,0.23,1000,,i_stall_calc;_peak_i:17A;_stall_torque:0.348;_peak_torque:0.87;_needs_moderate_N;_encoder_variant,
Fulling,FL90BLW27-24V-27130A,proximal_raw,90,27,600,,22P,24,7.8,2700,,0.457,130,0.21,3000,,i_stall_calc;_peak_i:23A;_stall_torque:0.548;_peak_torque:1.6;_high_J,
Fulling,FL90BLW40-48V-16170A,proximal_raw,90,40,1000,,22P,48,4.8,1670,,0.964,169,0.65,5000,,i_stall_calc;_peak_i:13A;_stall_torque:1.157;_peak_torque:3;_high_J;_48V,
Fulling,FL90BLW42-48V-16170A-EN,proximal_raw,90,41.5,1100,,22P,48,5,1670,,0.964,169,0.64,5000,,i_stall_calc;_peak_i:13A;_stall_torque:1.156;_peak_torque:3;_high_J;_48V,
Fulling,FL32BLW18-9V-3706A,distal_smoke,32,18,50,,8P,9,1.54,2100,,0.0295,6,2.87,35,,i_stall_calc;_peak_i:3.4A;_stall_torque:0.0354;_peak_torque:0.0738;_low_J,
Fulling,FL32BLW18-24V-4507A,distal_smoke,32,18,50,,8P,24,0.6,2760,,0.0255,7,13.7,35,,i_stall_calc;_peak_i:1.7A;_stall_torque:0.0306;_peak_torque:0.0765;_low_J,
Fulling,FL36CBL50-24V-4828A,distal_raw,36,50,230,,8P,24,1.7,4800,,0.055,28,1.2,22,,i_stall_calc;_peak_i:4.3A;_stall_torque:0.066;_peak_torque:0.165;_low_J,
Fulling,FL36CBL50-24V-4845A,distal_raw,36,65,280,,8P,24,2.7,4800,,0.09,45,0.88,32,,i_stall_calc;_peak_i:6.8A;_stall_torque:0.108;_peak_torque:0.27;_low_J,
Fulling,FL48CBL68-24V-3060A,j3_raw,48,68,500,,10P,24,5.7,3000,,0.18,60,0.7,80,,i_stall_calc;_peak_i:9.4A;_stall_torque:0.216;_peak_torque:0.54,
